,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,GDP_GA,pop_65_above,hosp_beds,Exports_of_goods_services,Agriculture_forestry_fishing_value_added,GDP_per_capital,Gross_capital_formation,Total_debt_service,Risk_of_impoverishing_expenditure_for_surgical_care,Air_transport_registered_carrier_departures_worldwide,High_technology_exports,date,country,Total Cases
14,4007.0,20177.0,88.0,813855.0,3712.0,63436.0,4412.0,3994.0,90.0,12717235.0,56599.0,250.0,11136.0,18.0,18.0,0.4,0.98882943984708,4.32240770888347,67.2,10.119017779007901,22.0414217623316,1284.70204683255,15.610767425,35.354890156771,31.4,49749.0,2.302693347323,2021-05-22,Pakistan,897468
15,521.0,9357.0,15.0,710445.0,557.2,9904.0,729.0,70893.0,909.0,7096837.0,689478.0,14.0,1100.0,1.0,51.0,1.0,1.9554663578441205,3.893416292356509,15.6,36.3350305916633,4.912643744681009,4405.48710929391,12.2315864144275,19.1689155808159,7.8,36550.0,1.36854376998177,2021-05-22,Jordan,729706
16,404.0,6766.0,14.0,686417.0,1236.0,16490.0,65.0,81515.0,777.0,4070548.0,467556.0,12.0,1287.0,2.0,46.0,2.0,4.24851343995569,18.740503417886103,5.3,51.0497865995374,5.95378883117524,7411.55864879005,25.1040505951123,27.2505547725765,2.1,30964.0,7.454250258260833,2021-05-22,Serbia,709673
17,1596.0,1648.0,4.0,534481.0,1571.0,18387.0,94.2,55471.0,165.0,48225282.0,4824257.0,18.0,6066.0,0.0,160.0,0.4,0.5777900123994615,10.430631706173752,14.8,43.24248462274086,10.778813499821721,20997.410443311695,24.32997126003842,19.819482601072842,20.34,134660.2,5.237010855453609,2021-05-22,UAE,554516
18,363.0,9119.0,4.0,505050.0,293.0,2643.0,95.0,13856.0,244.0,6439348.0,172643.0,72.0,4090.0,6.0,10.0,0.1,2.4819051321745498,7.30045477092159,21.4,39.109254063257396,12.1631904931504,3230.40972230151,32.1916832440039,9.18595712293394,14.0,91254.0,4.899820350115331,2021-05-22,Morocco,516812
19,8591.0,6153.0,129.0,383684.0,8848.0,115806.0,152.0,17082.0,208.0,2897503.0,97886.0,59.0,4811.0,10.0,290.0,4.0,6.6570554280283405,5.7825676166454185,30.8,7.77993647454519,21.5833727596487,1194.95687572575,41.378740910975296,8.154281799521481,62.2,27035.0,9.787552712467718,2021-05-22,Nepal,505643
20,1142.0,7237.0,13.0,423795.0,1089.0,8815.0,1329.0,12462.0,205.0,18449145.0,522723.0,80.0,4877.0,2.0,32.0,0.4,0.331435728597114,3.41288659962284,6.6,36.0494170526613,2.2333363735310896,23139.7979808237,28.775962708704,19.9481934683247,30.8,269872.0,0.648362933600923,2021-05-22,Saudi Arabia,439847
21,1219.0,20180.0,73.0,354499.0,4784.0,43161.0,574.0,23368.0,1129.0,1394791.0,78006.0,43.0,886.0,13.0,68.0,4.0,0.0121051028476558,7.3721993670649315,14.0,23.0483673045907,8.80053114288692,6222.52465327248,25.906005724330807,35.670740524882,14.4,50575.0,5.527952824831389,2021-05-22,Ecuador,417840
22,148.0,17487.0,13.0,373202.0,234.0,25876.0,410.0,60356.0,2534.0,2743168.0,397458.0,17.0,395.0,3.0,21.0,2.0,3.694308379839,21.252967270985,6.7,64.1916337048022,3.2364925932342405,9828.148514781391,21.1071078651357,12.6669733950032,3.4,10111.0,10.8524526843768,2021-05-22,Bulgaria,416565
23,1503.0,11734.0,37.0,352207.0,1844.0,24988.0,586.0,37477.0,1131.0,9167566.0,883393.0,27.0,884.0,1.0,145.0,4.0,1.85667511169028,21.941470126142697,3.8,40.082194500330296,3.7791768073240095,19150.786196498502,12.6890493462509,19.9481934683247,0.3,151848.0,12.5148699668283,2021-05-22,Greece,388929
